game,date,result,__v,createdAt,updatedAt
"Mumbai Starline",2024-01-01T04:30:00.000Z,49,0,2024-01-01T04:30:00.000Z,2024-01-01T04:30:00.000Z
"Mumbai Starline",2024-01-01T05:00:00.000Z,73,0,2024-01-01T05:00:00.000Z,2024-01-01T05:00:00.000Z
"Mumbai Starline",2024-01-01T05:30:00.000Z,97,0,2024-01-01T05:30:00.000Z,2024-01-01T05:30:00.000Z
"Mumbai Starline",2024-01-01T06:00:00.000Z,79,0,2024-01-01T06:00:00.000Z,2024-01-01T06:00:00.000Z
"Mumbai Starline",2024-01-01T06:30:00.000Z,75,0,2024-01-01T06:30:00.000Z,2024-01-01T06:30:00.000Z
"Mumbai Starline",2024-01-01T07:00:00.000Z,26,0,2024-01-01T07:00:00.000Z,2024-01-01T07:00:00.000Z
"Mumbai Starline",2024-01-01T07:30:00.000Z,99,0,2024-01-01T07:30:00.000Z,2024-01-01T07:30:00.000Z
"Mumbai Starline",2024-01-01T08:00:00.000Z,87,0,2024-01-01T08:00:00.000Z,2024-01-01T08:00:00.000Z
"Mumbai Starline",2024-01-01T08:30:00.000Z,81,0,2024-01-01T08:30:00.000Z,2024-01-01T08:30:00.000Z
"Mumbai Starline",2024-01-01T09:00:00.000Z,81,0,2024-01-01T09:00:00.000Z,2024-01-01T09:00:00.000Z
"Mumbai Starline",2024-01-01T09:30:00.000Z,45,0,2024-01-01T09:30:00.000Z,2024-01-01T09:30:00.000Z
"Mumbai Starline",2024-01-01T10:00:00.000Z,47,0,2024-01-01T10:00:00.000Z,2024-01-01T10:00:00.000Z
"Mumbai Starline",2024-01-01T10:30:00.000Z,68,0,2024-01-01T10:30:00.000Z,2024-01-01T10:30:00.000Z
"Mumbai Starline",2024-01-01T11:00:00.000Z,72,0,2024-01-01T11:00:00.000Z,2024-01-01T11:00:00.000Z
"Mumbai Starline",2024-01-01T11:30:00.000Z,27,0,2024-01-01T11:30:00.000Z,2024-01-01T11:30:00.000Z
"Mumbai Starline",2024-01-01T12:00:00.000Z,08,0,2024-01-01T12:00:00.000Z,2024-01-01T12:00:00.000Z
"Mumbai Starline",2024-01-01T12:30:00.000Z,65,0,2024-01-01T12:30:00.000Z,2024-01-01T12:30:00.000Z
